sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
7,0.40382558079056635,0.39476567571244137,r-IPL,DMN,0.009059905078124986
8,0.2966601246022179,0.28406724410715556,r-IPL,DMN,0.012592880495062353
9,0.3206231844252322,0.29229640582914157,r-IPL,DMN,0.028326778596090618
10,0.4098776073650806,0.3749733799689299,r-IPL,DMN,0.03490422739615073
11,0.21954380435999565,0.20796927381981756,r-IPL,DMN,0.011574530540178096
12,0.5563176525538215,0.5397856937120296,r-IPL,DMN,0.016531958841791927
13,0.20441099200063867,0.15720330071883165,r-IPL,DMN,0.04720769128180702
14,0.4399496238280698,0.3829685355997998,r-IPL,DMN,0.05698108822826997
15,0.4912643290140669,0.4437018472643186,r-IPL,DMN,0.04756248174974831
16,0.34484401464503334,0.33343594429683,r-IPL,DMN,0.011408070348203347
17,0.6156169449227522,0.5661721871543897,r-IPL,DMN,0.049444757768362546
18,0.40461200948170767,0.3555295913119585,r-IPL,DMN,0.049082418169749176
19,0.4562167250310483,0.3992968279499275,r-IPL,DMN,0.05691989708112083
20,0.3774910693228405,0.31213036736576305,r-IPL,DMN,0.06536070195707744
21,0.18979224645128584,0.13767649929888617,r-IPL,DMN,0.052115747152399666
22,0.410878529662977,0.3893995921638033,r-IPL,DMN,0.021478937499173678
23,0.3985360511866681,0.38498627638239824,r-IPL,DMN,0.013549774804269887
24,0.46425142632663563,0.3895638405944847,r-IPL,DMN,0.07468758573215095
1,0.31449491365173804,0.21827749154171533,RSC1,RSC,0.09621742211002271
2,0.4344226256550179,0.2777449754449467,RSC1,RSC,0.15667765021007118
3,0.639751389766509,0.5502028960972973,RSC1,RSC,0.08954849366921169
4,0.5378184957305829,0.46948799459356616,RSC1,RSC,0.06833050113701677
5,0.34709623749982554,0.3386008286744022,RSC1,RSC,0.008495408825423323
6,0.6281901239585022,0.4953252263366102,RSC1,RSC,0.13286489762189196
7,0.44982381391724885,0.4088667783343226,RSC1,RSC,0.04095703558292624
8,0.5783701617214061,0.515607936953374,RSC1,RSC,0.06276222476803206
9,0.3056684225610402,0.22275548952327612,RSC1,RSC,0.08291293303776409
10,0.4713647512792818,0.44367009967527204,RSC1,RSC,0.027694651604009746
11,0.4792197143612412,0.3430160081099316,RSC1,RSC,0.13620370625130962
12,0.8903501022209617,0.816926628780029,RSC1,RSC,0.0734234734409327
13,0.6047883262734982,0.4464691821988862,RSC1,RSC,0.158319144074612
14,0.5332420160600249,0.3805385201402448,RSC1,RSC,0.15270349591978005
15,0.4452966266701611,0.2872095931981431,RSC1,RSC,0.15808703347201802
16,0.5179180054797398,0.4360233972195974,RSC1,RSC,0.08189460826014239
17,0.5671336070139162,0.4065402797678307,RSC1,RSC,0.16059332724608555
18,0.47022506326280467,0.3931520152064589,RSC1,RSC,0.07707304805634574
19,0.6367184517057554,0.29576896800261404,RSC1,RSC,0.3409494837031413
20,0.538693369404036,0.444886965330556,RSC1,RSC,0.09380640407348001
21,0.6727313362815583,0.4967815583758224,RSC1,RSC,0.17594977790573596
22,0.6635704493245725,0.572037597043269,RSC1,RSC,0.09153285228130359
