sub_id,within_state_ps,between_state_ps,cluster,cluster_type,cogState_index
3,0.7190314180012661,0.5593502007478299,RSC1,RSC,0.1596812172534362
4,0.5236524561105009,0.5467547067913039,RSC1,RSC,-0.02310225068080296
5,0.3878349835548343,0.3675757381974355,RSC1,RSC,0.020259245357398814
6,0.6434184254603993,0.586209225423856,RSC1,RSC,0.057209200036543284
7,0.42510951449434603,0.49974804017318697,RSC1,RSC,-0.07463852567884094
8,0.6410600130199505,0.4747101880218109,RSC1,RSC,0.1663498249981396
9,0.32530778003329724,0.2927670598487292,RSC1,RSC,0.03254072018456805
10,0.5386537402501006,0.5041041671043789,RSC1,RSC,0.03454957314572171
11,0.43264726659416525,0.447560852189961,RSC1,RSC,-0.014913585595795753
12,0.908443565584446,0.8146413340543759,RSC1,RSC,0.09380223153007006
13,0.5525610473724647,0.5556149454739522,RSC1,RSC,-0.0030538981014874844
14,0.5513225062845546,0.4778263428123899,RSC1,RSC,0.0734961634721647
15,0.48397902925349245,0.34028770564516836,RSC1,RSC,0.1436913236083241
16,0.5076869948575284,0.539358785856723,RSC1,RSC,-0.03167179099919459
17,0.6128772564949008,0.4749246574890018,RSC1,RSC,0.13795259900589896
18,0.4553429135625243,0.4563322794956533,RSC1,RSC,-0.0009893659331289828
19,0.5524412299649956,0.4653436913250731,RSC1,RSC,0.08709753863992248
20,0.5120063329886987,0.49624371521681565,RSC1,RSC,0.015762617771883036
21,0.6156598975583163,0.6105180286978759,RSC1,RSC,0.005141868860440435
22,0.8236964520632568,0.4489021719602398,RSC1,RSC,0.374794280103017
23,0.7355229418822309,0.7899765822732456,RSC1,RSC,-0.054453640391014746
24,0.7346827533408054,0.6993304685723114,RSC1,RSC,0.03535228476849395
1,0.969578133610197,0.7821509435459448,l-IPS,CONT,0.18742719006425212
2,0.9004762193864919,0.8503745658247034,l-IPS,CONT,0.05010165356178853
3,0.964947760044318,0.894763057672924,l-IPS,CONT,0.07018470237139407
4,0.9427950161991967,0.9376123921596093,l-IPS,CONT,0.005182624039587358
5,0.7308539790115434,0.5723836576937407,l-IPS,CONT,0.1584703213178027
6,0.9444097953516012,0.8929799364924517,l-IPS,CONT,0.051429858859149524
7,0.9135727488304578,0.9311335884223146,l-IPS,CONT,-0.017560839591856836
8,0.6593909469517396,0.6726777320897702,l-IPS,CONT,-0.01328678513803061
9,0.5739850817010054,0.5256916352468469,l-IPS,CONT,0.04829344645415845
10,0.6607642936793678,0.6805220154792555,l-IPS,CONT,-0.019757721799887662
11,0.7709355322753999,0.7342088282318291,l-IPS,CONT,0.03672670404357081
12,0.6266925294074496,0.5900782551268202,l-IPS,CONT,0.036614274280629355
13,0.8761065489904937,0.691827617302998,l-IPS,CONT,0.18427893168749565
14,0.7183573742288959,0.5493325633672683,l-IPS,CONT,0.16902481086162757
15,0.8894796320568045,0.5705035720603461,l-IPS,CONT,0.3189760599964584
16,0.566174446791091,0.4981134022687144,l-IPS,CONT,0.06806104452237655
17,0.9141757539303581,0.7905785048603191,l-IPS,CONT,0.123597249070039
18,0.6262222539533446,0.6896113599447717,l-IPS,CONT,-0.06338910599142711
19,0.7446791707059737,0.7124103902906166,l-IPS,CONT,0.03226878041535708
20,0.6732935132358121,0.629792607786875,l-IPS,CONT,0.043500905448937144
21,0.815011188706763,0.691380989423438,l-IPS,CONT,0.12363019928332508
22,0.8656000210353695,0.8926639412395776,l-IPS,CONT,-0.027063920204208114
23,0.7214458555269985,0.6435754028220306,l-IPS,CONT,0.07787045270496784
24,0.7746445196056635,0.6335801282817022,l-IPS,CONT,0.1410643913239613
1,1.1523789748764548,0.997335597804222,r-IPS,CONT,0.1550433770722328
2,0.7495919707806212,0.7600245930589057,r-IPS,CONT,-0.010432622278284454
3,0.9614836047234858,0.9257437376419517,r-IPS,CONT,0.035739867081534094
4,0.7717202452510501,0.7676114658628677,r-IPS,CONT,0.0041087793881824375
5,0.8289044587341656,0.7544434678528513,r-IPS,CONT,0.0744609908813143
6,0.9690570314989289,0.8186494174576562,r-IPS,CONT,0.15040761404127267
7,0.9795211107049914,1.0051178471220164,r-IPS,CONT,-0.02559673641702498
8,0.6858066091576364,0.6915861856125629,r-IPS,CONT,-0.005779576454926549
9,0.715393941954496,0.6687706201015139,r-IPS,CONT,0.046623321852982125
10,0.7803610454838302,0.7675677117147917,r-IPS,CONT,0.012793333769038573
11,0.8086696253117152,0.687965624028207,r-IPS,CONT,0.12070400128350811
12,0.7928042155589969,0.7373934999664697,r-IPS,CONT,0.05541071559252719
13,1.0264437680693548,0.9390480865993969,r-IPS,CONT,0.08739568146995791
14,0.9425138228228758,0.8608773252165444,r-IPS,CONT,0.0816364976063314
15,1.0110319811843032,0.8999531247268975,r-IPS,CONT,0.11107885645740567
16,0.9890547874378779,0.9439697923567738,r-IPS,CONT,0.045084995081104084
17,0.7132224542047709,0.6183819543945227,r-IPS,CONT,0.09484049981024822
18,0.8348279040000011,0.9035512771290496,r-IPS,CONT,-0.06872337312904853
19,0.8567627580498871,0.8395797895838686,r-IPS,CONT,0.017182968466018522
