sub_id,within_state_ps,between_state_ps,cluster,cluster_type,cogState_index
1,0.7978001556006107,0.7584980826003338,mPFC,DMN,0.03930207300027688
1,0.7579688273903749,0.6834491969442837,r-IPL,DMN,0.07451963044609111
1,0.8788186443936119,0.838787236268447,RSC1,RSC,0.040031408125164925
1,0.8532072717403947,0.8286796479730465,l-IPS,CONT,0.024527623767348183
1,0.8843695854233264,0.806418353946643,r-IPS,CONT,0.07795123147668348
1,0.8538416512767095,0.8388857236907976,PCUN,DMN,0.01495592758591191
1,0.9148807307082051,0.9000269161272314,l-IPL1,DMN,0.014853814580973679
1,0.8392266908077087,0.7774455996006011,r-PFC,CONT,0.06178109120710762
1,0.9040720868683308,0.8910403338728197,l-PFC1,CONT,0.013031752995511181
1,0.8900560997754438,0.8717670829398958,PCC,DMN,0.018289016835547955
1,0.8981253268613525,0.9024350895214287,RSC2,RSC,-0.004309762660076211
1,0.8952016348206975,0.9114252666076799,SFG,CONT,-0.016223631786982384
1,1.0825441907939386,1.0503235390108645,l-PFC2,CONT,0.032220651783074095
1,0.8244909204532149,0.8029188334532952,MTG,DMN,0.02157208699991975
1,0.9269764410619522,0.8811947693262985,l-IPL2,DMN,0.04578167173565373
1,0.848036369034015,0.80773970942949,r-ITG,CONT,0.040296659604525
2,0.9134948478122082,0.9157226735595361,mPFC,DMN,-0.0022278257473278273
2,0.7790079796032136,0.800150701414421,r-IPL,DMN,-0.021142721811207466
2,0.893173067418827,0.8694033126260683,RSC1,RSC,0.02376975479275867
2,0.8624497294625196,0.8894609071339041,l-IPS,CONT,-0.0270111776713845
2,0.9346935272196046,0.9287542728608807,r-IPS,CONT,0.005939254358723889
2,0.9884428769662316,0.9589682371458969,PCUN,DMN,0.029474639820334714
2,0.8584572557765308,0.8788439108665993,l-IPL1,DMN,-0.02038665509006854
2,0.9638557217173629,0.9362122976184707,r-PFC,CONT,0.0276434240988922
2,0.9690712159912462,0.98525598466669,l-PFC1,CONT,-0.016184768675443717
2,0.8674327288890973,0.887014792545299,PCC,DMN,-0.019582063656201742
2,0.9286480728067309,0.9433229138590136,RSC2,RSC,-0.014674841052282672
2,0.8192255538506634,0.8088475133317425,SFG,CONT,0.010378040518920884
2,1.0400493091181018,1.0298239427394131,l-PFC2,CONT,0.01022536637868865
2,0.9071581689004431,0.9311702589486256,MTG,DMN,-0.0240120900481825
2,0.8355696849147906,0.8307099737214318,l-IPL2,DMN,0.004859711193358707
2,0.88342816501385,0.8440204526010974,r-ITG,CONT,0.03940771241275265
3,0.8796322131509045,0.8511313481419696,mPFC,DMN,0.028500865008934895
3,0.7456486908827644,0.6964924112041417,r-IPL,DMN,0.04915627967862268
3,0.7471460049274725,0.6808112705846849,RSC1,RSC,0.06633473434278758
3,0.7905603798154286,0.8170222755164697,l-IPS,CONT,-0.02646189570104107
3,0.8270680544273632,0.830669484145133,r-IPS,CONT,-0.0036014297177697774
3,0.7047552118396867,0.6875464986316604,PCUN,DMN,0.017208713208026305
3,0.7342098482178847,0.7460409457627339,l-IPL1,DMN,-0.011831097544849234
3,0.8580614847668769,0.8386761577302846,r-PFC,CONT,0.019385327036592348
3,0.8953727435029069,0.9199276555016169,l-PFC1,CONT,-0.02455491199871007
3,0.7515338287794622,0.7008563100830187,PCC,DMN,0.050677518696443435
3,0.8693902776316262,0.7815344368981967,RSC2,RSC,0.08785584073342956
3,0.7655542782874116,0.7972741536604206,SFG,CONT,-0.03171987537300902
3,0.7906545739016819,0.8294912179598497,l-PFC2,CONT,-0.03883664405816778
3,0.752398227542318,0.7291558476550046,MTG,DMN,0.02324237988731337
3,0.841070249474515,0.8349952706753625,l-IPL2,DMN,0.006074978799152531
3,0.7880152779812913,0.7635814568970157,r-ITG,CONT,0.02443382108427561
4,0.878515366172505,0.8048011867558955,mPFC,DMN,0.07371417941660952
4,0.8088865601837423,0.823355794316534,r-IPL,DMN,-0.014469234132791775
4,0.863006800338648,0.8351554223849122,RSC1,RSC,0.027851377953735712
4,0.861255894227238,0.8848099276335002,l-IPS,CONT,-0.023554033406262165
4,0.9298237146109796,0.9386662525884977,r-IPS,CONT,-0.008842537977518106
4,0.8877250092577178,0.8558384035784361,PCUN,DMN,0.0318866056792817
4,0.7535502452879255,0.7743901831457838,l-IPL1,DMN,-0.020839937857858315
4,0.8899587132406394,0.8254553853188467,r-PFC,CONT,0.0645033279217927
4,0.9246334630230786,0.8891195361075569,l-PFC1,CONT,0.03551392691552169
4,1.0043096299020589,0.982503437063204,PCC,DMN,0.021806192838854876
4,0.9299688048102704,0.9388663686067573,RSC2,RSC,-0.008897563796486874
4,0.9149210006658501,0.9232693368350386,SFG,CONT,-0.008348336169188508
4,0.9229097069976644,0.9444793928739839,l-PFC2,CONT,-0.021569685876319467
4,0.9354200495818612,0.929342337101018,MTG,DMN,0.0060777124808432115
4,1.0384687327466964,0.9627642715633584,l-IPL2,DMN,0.07570446118333796
4,0.9957150375551053,0.9547196644081286,r-ITG,CONT,0.040995373146976655
5,0.9103708420814819,0.8353814483845077,mPFC,DMN,0.07498939369697422
5,0.7054686658472193,0.6789511579263829,r-IPL,DMN,0.026517507920836403
5,0.8070644579292535,0.691212039524356,RSC1,RSC,0.11585241840489757
5,0.9811217153339711,1.0071785842421235,l-IPS,CONT,-0.026056868908152397
5,1.0058444273926632,0.9790492621819173,r-IPS,CONT,0.026795165210745875
5,0.9516560069319973,0.9015263655216772,PCUN,DMN,0.05012964141032006
5,0.7836745119678298,0.7398837320497273,l-IPL1,DMN,0.04379077991810243
