sub_id,within_state_ps,between_state_ps,cluster,cluster_type,vis_index
1,0.1716822704251792,0.1651655323887204,mPFC,DMN,0.006516738036458802
2,0.10045750944416901,0.09612119327246722,mPFC,DMN,0.0043363161717017845
3,0.07214747571005259,0.060405839214648815,mPFC,DMN,0.011741636495403773
4,0.15103919105067137,0.12460805325620215,mPFC,DMN,0.02643113779446922
5,0.07425610521865046,0.07297544135490094,mPFC,DMN,0.0012806638637495177
6,0.2237057836545293,0.18001583794050618,mPFC,DMN,0.043689945714023126
7,0.12222398515028343,0.11939486018846053,mPFC,DMN,0.0028291249618229014
8,0.31493491193189327,0.291000449293547,mPFC,DMN,0.023934462638346254
9,0.13657158660149332,0.09909209582474036,mPFC,DMN,0.03747949077675296
10,0.055415200561750755,0.05793829124275486,mPFC,DMN,-0.002523090681004106
11,0.14564317934525264,0.07136992751352565,mPFC,DMN,0.07427325183172699
12,0.30674386666731945,0.32649412782684306,mPFC,DMN,-0.019750261159523608
13,0.1909055597553304,0.13568503808573362,mPFC,DMN,0.05522052166959679
14,0.3562113820385787,0.3153163849116918,mPFC,DMN,0.040894997126886934
15,0.16177113064503235,0.0951441010497397,mPFC,DMN,0.06662702959529265
16,0.09842422734869075,0.09637114587448933,mPFC,DMN,0.0020530814742014125
17,0.385602472262925,0.351020812974862,mPFC,DMN,0.034581659288063005
18,0.31318129583540033,0.29812411732841204,mPFC,DMN,0.015057178506988289
19,0.28146056586136803,0.24215451965493445,mPFC,DMN,0.039306046206433576
20,0.2450011632055506,0.1295955116705892,mPFC,DMN,0.1154056515349614
21,0.17685244237649772,0.12036898020729092,mPFC,DMN,0.0564834621692068
22,0.08013535685120038,0.07228478042274908,mPFC,DMN,0.0078505764284513
23,0.19315723717065647,0.18413045129926314,mPFC,DMN,0.009026785871393328
24,0.31248493855295967,0.28683642871613135,mPFC,DMN,0.025648509836828315
1,0.37061721355439714,0.34270578099843585,r-IPL,DMN,0.02791143255596129
2,0.3285760708244344,0.28276520752649276,r-IPL,DMN,0.04581086329794165
3,0.3122246334706301,0.26612045519381256,r-IPL,DMN,0.046104178276817565
4,0.352931127729305,0.2809790831707397,r-IPL,DMN,0.0719520445585653
5,0.39474804396162533,0.3772785534177116,r-IPL,DMN,0.017469490543913724
6,0.7665852320382464,0.7343490567820639,r-IPL,DMN,0.0322361752561825
7,0.39406773444378407,0.40427915727879027,r-IPL,DMN,-0.0102114228350062
8,0.3234163125254925,0.2512331339098389,r-IPL,DMN,0.0721831786156536
9,0.3399615666093654,0.2791587350075441,r-IPL,DMN,0.06080283160182126
10,0.40748787357495586,0.38669051126658427,r-IPL,DMN,0.020797362308371592
11,0.22933907908475248,0.19541788615264793,r-IPL,DMN,0.03392119293210455
12,0.5609479809863291,0.5383218259817198,r-IPL,DMN,0.022626155004609294
13,0.19917375629553574,0.1713311733185237,r-IPL,DMN,0.02784258297701203
14,0.4489690782524617,0.3574176157368867,r-IPL,DMN,0.091551462515575
15,0.4757149609790084,0.4616055284589604,r-IPL,DMN,0.014109432520047982
16,0.35401750281089106,0.3294063997431302,r-IPL,DMN,0.024611103067760876
17,0.6035146545252754,0.577603058462241,r-IPL,DMN,0.025911596063034392
18,0.43831076644625033,0.3379590043246715,r-IPL,DMN,0.10035176212157881
19,0.4449325191913627,0.41203673291619153,r-IPL,DMN,0.032895786275171146
20,0.3652239952917199,0.33001302981076275,r-IPL,DMN,0.035210965480957146
21,0.1964335408350445,0.1344317317632619,r-IPL,DMN,0.0620018090717826
22,0.41916115219541583,0.3872662920632498,r-IPL,DMN,0.031894860132166025
23,0.406327788937593,0.3739304768397791,r-IPL,DMN,0.032397312097813935
24,0.45487683725794725,0.4018983682230646,r-IPL,DMN,0.05297846903488268
1,0.3243808133250027,0.21633771061479795,RSC1,RSC,0.10804310271020473
2,0.5225805308058553,0.19026959213220748,RSC1,RSC,0.3323109386736478
3,0.638233824840886,0.5503669634994581,RSC1,RSC,0.08786686134142785
4,0.5671548572487486,0.4384899851397101,RSC1,RSC,0.1286648721090385
5,0.3523048638757261,0.31451523631179856,RSC1,RSC,0.037789627563927564
6,0.6674853272980447,0.4486553783225211,RSC1,RSC,0.21882994897552355
7,0.4753294506928559,0.38165192250038793,RSC1,RSC,0.093677528192468
8,0.576452616882891,0.507186579090824,RSC1,RSC,0.06926603779206697
9,0.31941525929566894,0.21085615317354467,RSC1,RSC,0.10855910612212427
10,0.48784126745077544,0.4408008546647187,RSC1,RSC,0.04704041278605675
11,0.4755253684893763,0.3431889432850125,RSC1,RSC,0.13233642520436384
12,0.8644045513052394,0.8487392336704388,RSC1,RSC,0.015665317634800613
13,0.6264458812242556,0.4194095776322872,RSC1,RSC,0.2070363035919684
14,0.5625227819147212,0.3353010794122534,RSC1,RSC,0.22722170250246776
15,0.4763471955552693,0.24841468179508192,RSC1,RSC,0.22793251376018736
16,0.5478792888350589,0.4210387137416256,RSC1,RSC,0.12684057509343327
17,0.6011591008447705,0.36846202669990175,RSC1,RSC,0.2326970741448688
18,0.5249634956488007,0.3416676397578209,RSC1,RSC,0.18329585589097985
19,0.6127960163051318,0.32529845650670586,RSC1,RSC,0.28749755979842595
20,0.5997633570329224,0.3686588387921024,RSC1,RSC,0.23110451824082
21,0.6756989996276036,0.49756987703684985,RSC1,RSC,0.17812912259075375
22,0.7033646579838149,0.5429631778102668,RSC1,RSC,0.16040148017354805
23,0.7324065287378516,0.6894621110243682,RSC1,RSC,0.04294441771348345
24,0.7675851114254689,0.6439274514017961,RSC1,RSC,0.12365766002367284
