sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
4,0.6791890898095743,0.6838771433252243,l-IPL1,DMN,-0.004688053515650048
4,0.680362077056144,0.6643456448198406,r-PFC,CONT,0.016016432236303446
4,0.7796285321450098,0.7587854039390122,l-PFC1,CONT,0.020843128205997652
4,0.8527072853608626,0.8550727268211187,PCC,DMN,-0.002365441460256079
4,0.8038510984819389,0.7809195919696623,RSC2,RSC,0.0229315065122766
4,0.796504890218453,0.8042897031357399,SFG,CONT,-0.007784812917286832
4,0.8076435583435265,0.7948203151846722,l-PFC2,CONT,0.012823243158854303
4,0.7876730431167396,0.7967993023419329,MTG,DMN,-0.009126259225193278
4,0.8279845445339534,0.8075371562535931,l-IPL2,DMN,0.0204473882803603
4,0.7651217175023672,0.7718887974679406,r-ITG,CONT,-0.006767079965573353
5,0.7579750904605663,0.7448705942609966,mPFC,DMN,0.01310449619956977
5,0.5898923340136439,0.5091466194035454,r-IPL,DMN,0.0807457146100985
5,0.6074150322046512,0.6099722510481379,RSC1,RSC,-0.002557218843486697
5,0.8908210183458255,0.8553599139775269,l-IPS,CONT,0.035461104368298635
5,0.874089547630918,0.8100867082860086,r-IPS,CONT,0.06400283934490936
5,0.8066292063821395,0.7953649582341065,PCUN,DMN,0.011264248148033063
5,0.6853440959165065,0.6066626310392906,l-IPL1,DMN,0.07868146487721583
5,0.6629987046516062,0.5810204533329149,r-PFC,CONT,0.0819782513186913
5,0.9083579618433328,0.8860291132459394,l-PFC1,CONT,0.02232884859739348
5,0.6455026814828402,0.6071752488235402,PCC,DMN,0.03832743265929994
5,0.6907097936820311,0.6705466764798463,RSC2,RSC,0.020163117202184777
5,0.8146644252066557,0.7797638246319948,SFG,CONT,0.034900600574660934
5,0.8950792036703347,0.9047439072898743,l-PFC2,CONT,-0.009664703619539639
5,0.8004433856291591,0.7787457633047994,MTG,DMN,0.021697622324359678
5,0.7736171599231876,0.6853290837332573,l-IPL2,DMN,0.08828807618993029
5,0.8351520185031984,0.8044110503302564,r-ITG,CONT,0.03074096817294203
6,0.8146138413536672,0.811934134152708,mPFC,DMN,0.002679707200959225
6,0.7330059569422093,0.696889648863275,r-IPL,DMN,0.03611630807893429
6,0.6351737770143957,0.6353412276563584,RSC1,RSC,-0.00016745064196266313
6,0.8387570181815058,0.8491205569809821,l-IPS,CONT,-0.010363538799476268
6,0.7974470187931904,0.8105227922701607,r-IPS,CONT,-0.01307577347697031
6,0.741981352295444,0.7158299915717248,PCUN,DMN,0.026151360723719264
6,0.6832781842787321,0.6815498368350112,l-IPL1,DMN,0.0017283474437208568
6,0.7103155551803613,0.6985079790147255,r-PFC,CONT,0.01180757616563577
6,0.8649627975111229,0.8577103141908431,l-PFC1,CONT,0.0072524833202798344
6,0.7886175964664499,0.7747314041738439,PCC,DMN,0.013886192292606014
6,0.6729533106198335,0.6737870405447964,RSC2,RSC,-0.0008337299249628893
6,0.7110598390666023,0.696474198479867,SFG,CONT,0.014585640586735282
6,0.8173868051694024,0.7947344775582739,l-PFC2,CONT,0.022652327611128564
6,0.7755859224703083,0.7735546946873911,MTG,DMN,0.0020312277829172
6,0.7250280328654566,0.7136920319949138,l-IPL2,DMN,0.011336000870542762
6,0.8126560895142516,0.7813171293785217,r-ITG,CONT,0.0313389601357299
