,sub_id,within_state_ps,between_state_ps,cluster,cluster_type,visual_index
0,1,0.6533758971285845,0.6188480479179912,mPFC,DMN,0.034527849210593264
1,1,0.6004532198618211,0.6034439915190164,r-IPL,DMN,-0.0029907716571953014
2,1,0.7633429495552762,0.7612558269678642,RSC1,RSC,0.0020871225874119492
3,1,0.7291897774799174,0.7319996849703538,l-IPS,CONT,-0.002809907490436414
4,1,0.7563798806333495,0.7465927244711452,r-IPS,CONT,0.009787156162204269
5,1,0.7360606408511912,0.7184881200483899,PCUN,DMN,0.01757252080280125
6,1,0.7298309421821448,0.72814201765497,l-IPL1,DMN,0.0016889245271748399
7,1,0.6964039949632088,0.6809930956423078,r-PFC,CONT,0.015410899320901006
8,1,0.7628275455588978,0.7641998821062288,l-PFC1,CONT,-0.0013723365473310434
9,1,0.7516735105999105,0.7526569552403604,PCC,DMN,-0.0009834446404498598
10,1,0.7465891432122919,0.7389753649207413,RSC2,RSC,0.0076137782915505214
11,1,0.8267617925035502,0.8079121044321464,SFG,CONT,0.018849688071403747
12,1,0.9431024489458322,0.941073950895648,l-PFC2,CONT,0.0020284980501841243
13,1,0.6697128807820588,0.6446959915083652,MTG,DMN,0.02501688927369361
14,1,0.781705509877993,0.7829628529261006,l-IPL2,DMN,-0.0012573430481075398
15,1,0.6509327588761026,0.6662282692185231,r-ITG,CONT,-0.015295510342420493
16,2,0.7278033181339736,0.7427864538580902,mPFC,DMN,-0.01498313572411658
17,2,0.6293545901462108,0.6365498836732773,r-IPL,DMN,-0.007195293527066493
18,2,0.7075965721682826,0.7430160711085312,RSC1,RSC,-0.03541949894024854
19,2,0.784769581101594,0.8005770434674293,l-IPS,CONT,-0.0158074623658353
20,2,0.7843289482362561,0.7901751785369981,r-IPS,CONT,-0.00584623030074205
21,2,0.7765277432430897,0.7822455969271,PCUN,DMN,-0.005717853684010343
22,2,0.7396581286518559,0.7450662657215394,l-IPL1,DMN,-0.005408137069683572
23,2,0.7834079655937608,0.7790911001155578,r-PFC,CONT,0.00431686547820298
24,2,0.8390823457272485,0.8735847305935793,l-PFC1,CONT,-0.03450238486633084
25,2,0.7505074687910829,0.7209372731123473,PCC,DMN,0.029570195678735534
26,2,0.7879927644353321,0.8318854175776587,RSC2,RSC,-0.0438926531423266
27,2,0.6777502598819458,0.6966617630318299,SFG,CONT,-0.0189115031498841
28,2,0.8610627345477597,0.8846851563023427,l-PFC2,CONT,-0.023622421754582956
29,2,0.7161448091115143,0.7287747485609901,MTG,DMN,-0.012629939449475769
30,2,0.7164258440366521,0.7144051579958062,l-IPL2,DMN,0.0020206860408459315
31,2,0.7285397092957109,0.7305365239992407,r-ITG,CONT,-0.001996814703529859
32,3,0.7674097301779104,0.7727190629954417,mPFC,DMN,-0.00530933281753132
33,3,0.6202597835268613,0.6090511094348707,r-IPL,DMN,0.011208674091990556
34,3,0.6148597769740132,0.6097687971750432,RSC1,RSC,0.005090979798969997
35,3,0.7351782546506959,0.7007940119659246,l-IPS,CONT,0.03438424268477125
36,3,0.7527717525315964,0.7539463509538229,r-IPS,CONT,-0.0011745984222264472
37,3,0.5785062567004327,0.5769305798130523,PCUN,DMN,0.0015756768873803617
38,3,0.604527795143657,0.60578386628853,l-IPL1,DMN,-0.0012560711448730277
39,3,0.7385608273040682,0.7299120006899776,r-PFC,CONT,0.00864882661409061
40,3,0.7510785072128261,0.7382534704163672,l-PFC1,CONT,0.012825036796458855
41,3,0.5748499380475727,0.5741471189712266,PCC,DMN,0.0007028190763460618
42,3,0.6716832828011903,0.674129026922768,RSC2,RSC,-0.00244574412157772
43,3,0.7406096807775977,0.7517893488362803,SFG,CONT,-0.011179668058682646
44,3,0.6890351802997141,0.6787653155241198,l-PFC2,CONT,0.010269864775594328
45,3,0.6681852130676819,0.6764228436027796,MTG,DMN,-0.00823763053509774
46,3,0.7101176825470696,0.7141820258805034,l-IPL2,DMN,-0.004064343333433751
47,3,0.6579113801015288,0.6502149134630351,r-ITG,CONT,0.007696466638493771
48,4,0.6702134372594505,0.6815186162709976,mPFC,DMN,-0.01130517901154715
49,4,0.6601697697610696,0.6587921653012958,r-IPL,DMN,0.0013776044597737513
50,4,0.7057617754442007,0.6929541587528913,RSC1,RSC,0.012807616691309365
51,4,0.6804577621051396,0.6717608340270027,l-IPS,CONT,0.008696928078136934
52,4,0.7588264916246725,0.7315969900481549,r-IPS,CONT,0.0272295015765176
53,4,0.7506213055908753,0.7364727813096541,PCUN,DMN,0.014148524281221153
54,4,0.574415700970184,0.5816438819800624,l-IPL1,DMN,-0.007228181009878432
55,4,0.7216116396814835,0.7321125568632678,r-PFC,CONT,-0.010500917181784364
56,4,0.7666543321240935,0.7676823927944183,l-PFC1,CONT,-0.001028060670324793
57,4,0.8900951792566791,0.8769173113989543,PCC,DMN,0.01317786785772479
58,4,0.7678673452541671,0.7330055597708102,RSC2,RSC,0.034861785483356944
59,4,0.7428127916168343,0.7504700539299038,SFG,CONT,-0.007657262313069513
60,4,0.7461942729091778,0.7401758515787671,l-PFC2,CONT,0.00601842133041075
61,4,0.7715311050786504,0.7700120804934446,MTG,DMN,0.0015190245852058082
62,4,0.8743647863643608,0.8586550847603045,l-IPL2,DMN,0.01570970160405627
63,4,0.7946593551388317,0.7817634125027075,r-ITG,CONT,0.012895942636124147
64,5,0.7207062517619428,0.7115710909942439,mPFC,DMN,0.009135160767698935
65,5,0.6134822549769545,0.5662864263521095,r-IPL,DMN,0.04719582862484506
66,5,0.62370136880126,0.6005134832000389,RSC1,RSC,0.023187885601221092
67,5,0.8531730173446641,0.8092875187624572,l-IPS,CONT,0.04388549858220692
68,5,0.8434170432084681,0.8142431713049976,r-IPS,CONT,0.02917387190347054
69,5,0.6992810240954679,0.6811474148722335,PCUN,DMN,0.01813360922323437
70,5,0.6206975142550646,0.6403484939907812,l-IPL1,DMN,-0.01965097973571661
71,5,0.6419689427092838,0.6416798379827571,r-PFC,CONT,0.00028910472652676766
72,5,0.8558221794202863,0.8346117610576753,l-PFC1,CONT,0.02121041836261095
73,5,0.6119602774993462,0.6316215157657308,PCC,DMN,-0.01966123826638455
