,subject_id,epoch_conf,top_n_mask,condition
0,0,-0.07194115,top_100,ret_per_clf
1,0,-0.1572113,top_100,ret_per_clf
2,0,-1.70711918,top_100,ret_per_clf
3,0,0.21210869,top_100,ret_per_clf
4,0,-0.2819126,top_100,ret_per_clf
5,0,-0.58858602,top_100,ret_per_clf
6,0,0.15965155,top_100,ret_per_clf
7,0,0.42972532,top_100,ret_per_clf
8,0,-0.91695889,top_100,ret_per_clf
9,0,-0.2168175,top_100,ret_per_clf
10,0,-0.83711548,top_100,ret_per_clf
11,0,0.22972414,top_100,ret_per_clf
12,0,0.30531297,top_100,ret_per_clf
13,0,-0.91534006,top_100,ret_per_clf
14,0,-1.24262804,top_100,ret_per_clf
15,0,-0.08791658,top_100,ret_per_clf
16,0,0.39571842,top_100,ret_per_clf
17,0,0.62404846,top_100,ret_per_clf
18,0,-0.03459741,top_100,ret_per_clf
19,0,0.11839283,top_100,ret_per_clf
20,0,0.14423132,top_100,ret_per_clf
21,0,-0.02566565,top_100,ret_per_clf
22,0,-0.26401909,top_100,ret_per_clf
23,0,-0.7546127,top_100,ret_per_clf
24,0,0.89804,top_100,ret_per_clf
25,0,0.09019064,top_100,ret_per_clf
26,0,1.38564825,top_100,ret_per_clf
27,0,0.3308284,top_100,ret_per_clf
28,0,0.67411552,top_100,ret_per_clf
29,0,0.46779724,top_100,ret_per_clf
30,0,1.04311979,top_100,ret_per_clf
31,0,-0.23908672,top_100,ret_per_clf
32,1,0.65519202,top_100,ret_per_clf
33,1,-0.56504763,top_100,ret_per_clf
34,1,-0.92661005,top_100,ret_per_clf
35,1,-1.41117744,top_100,ret_per_clf
36,1,-1.8000272,top_100,ret_per_clf
37,1,0.51538857,top_100,ret_per_clf
38,1,-0.29741826,top_100,ret_per_clf
39,1,-0.23397315,top_100,ret_per_clf
40,1,-1.25852006,top_100,ret_per_clf
41,1,-0.3568382,top_100,ret_per_clf
42,1,1.22609187,top_100,ret_per_clf
43,1,-1.33196902,top_100,ret_per_clf
44,1,-1.64748972,top_100,ret_per_clf
45,1,1.02085178,top_100,ret_per_clf
46,1,1.24892039,top_100,ret_per_clf
47,1,-0.1190328,top_100,ret_per_clf
48,1,0.32679252,top_100,ret_per_clf
49,1,0.46795753,top_100,ret_per_clf
50,1,-0.93610213,top_100,ret_per_clf
51,1,1.52947611,top_100,ret_per_clf
52,1,-0.60151532,top_100,ret_per_clf
53,1,0.24470468,top_100,ret_per_clf
54,1,1.04528455,top_100,ret_per_clf
55,1,1.6373652,top_100,ret_per_clf
56,1,-0.70414089,top_100,ret_per_clf
57,1,0.19212254,top_100,ret_per_clf
58,1,1.50843934,top_100,ret_per_clf
59,1,0.40788477,top_100,ret_per_clf
60,1,-0.60455493,top_100,ret_per_clf
61,1,0.3495815,top_100,ret_per_clf
62,1,-0.02766638,top_100,ret_per_clf
63,1,-0.10227909,top_100,ret_per_clf
64,2,0.449839333,top_100,ret_per_clf
65,2,-1.97733017,top_100,ret_per_clf
66,2,-0.383037071,top_100,ret_per_clf
67,2,-0.419960943,top_100,ret_per_clf
68,2,0.272947894,top_100,ret_per_clf
69,2,-1.13440809,top_100,ret_per_clf
70,2,-0.187973892,top_100,ret_per_clf
71,2,0.284977259,top_100,ret_per_clf
72,2,0.335752901,top_100,ret_per_clf
73,2,0.716734544,top_100,ret_per_clf
74,2,-0.644643528,top_100,ret_per_clf
75,2,-1.11663785,top_100,ret_per_clf
76,2,1.21543271,top_100,ret_per_clf
77,2,-2.01950325,top_100,ret_per_clf
78,2,-1.0037705,top_100,ret_per_clf
79,2,0.067510508,top_100,ret_per_clf
80,2,-0.097961724,top_100,ret_per_clf
81,2,0.001502854,top_100,ret_per_clf
82,2,0.218337485,top_100,ret_per_clf
83,2,-0.569882239,top_100,ret_per_clf
84,2,-0.815927731,top_100,ret_per_clf
85,2,0.543996901,top_100,ret_per_clf
86,2,-1.48375739,top_100,ret_per_clf
87,2,-0.340644702,top_100,ret_per_clf
88,2,-0.456936414,top_100,ret_per_clf
89,2,0.856366038,top_100,ret_per_clf
90,2,0.446138834,top_100,ret_per_clf
91,2,1.02533438,top_100,ret_per_clf
92,2,2.15637084,top_100,ret_per_clf
93,2,2.04337072,top_100,ret_per_clf
94,2,1.25233504,top_100,ret_per_clf
95,2,0.540238374,top_100,ret_per_clf
96,3,0.39001624,top_100,ret_per_clf
97,3,0.15736023,top_100,ret_per_clf
98,3,0.12422786,top_100,ret_per_clf
99,3,-1.87377306,top_100,ret_per_clf
100,3,-0.85373929,top_100,ret_per_clf
101,3,-0.94127189,top_100,ret_per_clf
102,3,-0.69182203,top_100,ret_per_clf
103,3,0.36369451,top_100,ret_per_clf
104,3,0.17133759,top_100,ret_per_clf
105,3,0.64199293,top_100,ret_per_clf
106,3,1.07503975,top_100,ret_per_clf
107,3,0.02504325,top_100,ret_per_clf
108,3,0.18993205,top_100,ret_per_clf
109,3,-0.0469258,top_100,ret_per_clf
110,3,0.7279205,top_100,ret_per_clf
111,3,1.37302688,top_100,ret_per_clf
112,3,-1.36323433,top_100,ret_per_clf
113,3,-0.8829006,top_100,ret_per_clf
114,3,-0.49712237,top_100,ret_per_clf
115,3,-0.1326554,top_100,ret_per_clf
116,3,-0.49775947,top_100,ret_per_clf
117,3,0.22001426,top_100,ret_per_clf
118,3,-0.64027222,top_100,ret_per_clf
119,3,0.90285431,top_100,ret_per_clf
120,3,0.73914098,top_100,ret_per_clf
121,3,0.4048278,top_100,ret_per_clf
122,3,-1.19657324,top_100,ret_per_clf
123,3,-0.18182829,top_100,ret_per_clf
124,3,-0.32524809,top_100,ret_per_clf
125,3,1.57697737,top_100,ret_per_clf
126,3,-0.08026744,top_100,ret_per_clf
127,3,0.63690885,top_100,ret_per_clf
128,4,-0.65353597,top_100,ret_per_clf
129,4,-0.04034695,top_100,ret_per_clf
130,4,-0.09578689,top_100,ret_per_clf
131,4,0.09773164,top_100,ret_per_clf
132,4,-1.85119037,top_100,ret_per_clf
133,4,-0.45687451,top_100,ret_per_clf
134,4,-0.51693463,top_100,ret_per_clf
135,4,-0.25927888,top_100,ret_per_clf
136,4,-0.48956588,top_100,ret_per_clf
137,4,0.3782286,top_100,ret_per_clf
138,4,0.97961758,top_100,ret_per_clf
139,4,0.16160148,top_100,ret_per_clf
140,4,0.59644167,top_100,ret_per_clf
141,4,-0.87081458,top_100,ret_per_clf
142,4,-0.5853508,top_100,ret_per_clf
143,4,-0.60459991,top_100,ret_per_clf
144,4,0.26697595,top_100,ret_per_clf
145,4,0.04809718,top_100,ret_per_clf
146,4,0.06832872,top_100,ret_per_clf
147,4,1.050056,top_100,ret_per_clf
148,4,-0.51847696,top_100,ret_per_clf
149,4,0.12729209,top_100,ret_per_clf
150,4,0.40969415,top_100,ret_per_clf
151,4,1.22344589,top_100,ret_per_clf
152,4,-0.9411625,top_100,ret_per_clf
153,4,0.42884313,top_100,ret_per_clf
154,4,-0.0087239,top_100,ret_per_clf
155,4,0.86783552,top_100,ret_per_clf
156,4,-0.60084082,top_100,ret_per_clf
157,4,-0.29151092,top_100,ret_per_clf
158,4,0.61595776,top_100,ret_per_clf
159,4,1.16491086,top_100,ret_per_clf
160,5,-0.32096365,top_100,ret_per_clf
161,5,-1.02321189,top_100,ret_per_clf
162,5,-0.26269217,top_100,ret_per_clf
163,5,-0.71972329,top_100,ret_per_clf
164,5,-0.42837744,top_100,ret_per_clf
165,5,-0.85292493,top_100,ret_per_clf
166,5,-0.18768415,top_100,ret_per_clf
167,5,-1.02668278,top_100,ret_per_clf
168,5,-0.37538817,top_100,ret_per_clf
169,5,-1.95022613,top_100,ret_per_clf
170,5,-0.80975674,top_100,ret_per_clf
171,5,-0.32423059,top_100,ret_per_clf
