,subject_id,epoch_conf,top_n_mask,condition
92,14,3.41553546,top_100,retper
93,14,0.66364272,top_100,retper
94,14,1.35015209,top_100,retper
95,14,2.0308225,top_100,retper
96,11,-0.32052993,top_100,retper
97,11,-4.66292448,top_100,retper
98,11,-4.15806497,top_100,retper
99,11,-2.30941189,top_100,retper
100,11,0.73606137,top_100,retper
101,11,-5.62019077,top_100,retper
102,11,3.1529233,top_100,retper
103,11,1.47598583,top_100,retper
104,11,-2.87531087,top_100,retper
105,11,-6.85830008,top_100,retper
106,11,0.82857799,top_100,retper
107,11,-7.54842588,top_100,retper
108,11,1.27558609,top_100,retper
109,11,-11.03804415,top_100,retper
110,11,-6.11976981,top_100,retper
111,11,-7.43642603,top_100,retper
112,11,5.10933963,top_100,retper
113,11,-1.61637038,top_100,retper
114,11,-0.38603275,top_100,retper
115,11,1.31533276,top_100,retper
116,11,-2.61158872,top_100,retper
117,11,-1.80081357,top_100,retper
118,11,3.83233043,top_100,retper
119,11,3.37222648,top_100,retper
120,11,5.16838557,top_100,retper
121,11,2.53081339,top_100,retper
122,11,5.0267895,top_100,retper
123,11,6.44467469,top_100,retper
124,11,6.36807132,top_100,retper
125,11,5.08398868,top_100,retper
126,11,4.25919085,top_100,retper
127,11,7.83759979,top_100,retper
128,5,0.43087543,top_100,retper
129,5,-0.82677726,top_100,retper
130,5,-3.29607879,top_100,retper
131,5,-2.28154623,top_100,retper
132,5,0.86269585,top_100,retper
133,5,-0.49437726,top_100,retper
134,5,-6.33930427,top_100,retper
135,5,1.83022635,top_100,retper
136,5,-1.13133885,top_100,retper
137,5,1.58184334,top_100,retper
138,5,-6.25701377,top_100,retper
139,5,2.48969471,top_100,retper
140,5,-2.14128161,top_100,retper
141,5,-0.74518205,top_100,retper
142,5,-5.7314448,top_100,retper
143,5,-5.56571931,top_100,retper
144,5,5.03688988,top_100,retper
145,5,-1.80635978,top_100,retper
146,5,4.12678765,top_100,retper
147,5,1.74055246,top_100,retper
148,5,7.70181571,top_100,retper
149,5,2.39352032,top_100,retper
150,5,1.98415353,top_100,retper
151,5,-3.069854,top_100,retper
152,5,4.77670374,top_100,retper
153,5,-0.94634826,top_100,retper
154,5,2.07882092,top_100,retper
155,5,-0.87553459,top_100,retper
156,5,0.76684219,top_100,retper
157,5,4.98903302,top_100,retper
158,5,-6.07863321,top_100,retper
159,5,1.66669117,top_100,retper
160,2,-0.26961396,top_100,retper
161,2,-4.40121607,top_100,retper
162,2,-1.60133097,top_100,retper
163,2,-5.45595506,top_100,retper
164,2,1.44071891,top_100,retper
165,2,-4.00461697,top_100,retper
166,2,1.17581313,top_100,retper
167,2,-2.98177142,top_100,retper
168,2,-1.71423912,top_100,retper
169,2,0.46806841,top_100,retper
170,2,-3.64531361,top_100,retper
171,2,1.30182331,top_100,retper
172,2,-2.54260931,top_100,retper
173,2,-1.58652358,top_100,retper
174,2,-4.07743071,top_100,retper
175,2,-1.44482803,top_100,retper
176,2,0.62229156,top_100,retper
177,2,1.09183349,top_100,retper
178,2,0.84816518,top_100,retper
179,2,0.09576897,top_100,retper
