index,sub_id,mask_size,condition,auc
10,11,top_3000,retper,0.9609375
11,12,top_3000,retper,0.7734375
12,13,top_3000,retper,0.8515625
13,14,top_3000,retper,0.9140625
14,15,top_3000,retper,0.8515625
15,16,top_3000,retper,0.859375
16,17,top_3000,retper,0.87109375
17,18,top_3000,retper,0.88671875
18,19,top_3000,retper,0.87109375
19,20,top_3000,retper,0.87890625
20,21,top_3000,retper,1.0
21,22,top_3000,retper,0.78515625
22,23,top_3000,retper,0.921875
23,24,top_3000,retper,0.921875
24,1,top_3000,scrret,0.72265625
25,2,top_3000,scrret,0.6875
26,3,top_3000,scrret,0.90234375
27,4,top_3000,scrret,0.86328125
28,5,top_3000,scrret,0.609375
29,6,top_3000,scrret,0.91796875
30,7,top_3000,scrret,0.8125
31,8,top_3000,scrret,0.84765625
32,9,top_3000,scrret,0.89453125
33,10,top_3000,scrret,0.7578125
34,11,top_3000,scrret,0.8515625
35,12,top_3000,scrret,0.9296875
36,13,top_3000,scrret,0.84765625
37,14,top_3000,scrret,0.859375
38,15,top_3000,scrret,0.81640625
39,16,top_3000,scrret,0.75
40,17,top_3000,scrret,0.828125
41,18,top_3000,scrret,0.828125
42,19,top_3000,scrret,0.921875
43,20,top_3000,scrret,0.890625
44,21,top_3000,scrret,0.89453125
45,22,top_3000,scrret,0.796875
46,23,top_3000,scrret,0.93359375
47,24,top_3000,scrret,0.73828125
48,1,top_3000,scrper,0.52734375
49,2,top_3000,scrper,0.75
50,3,top_3000,scrper,0.890625
51,4,top_3000,scrper,0.78125
52,5,top_3000,scrper,0.640625
53,6,top_3000,scrper,0.8125
54,7,top_3000,scrper,0.82421875
55,8,top_3000,scrper,0.6953125
56,9,top_3000,scrper,0.8203125
57,10,top_3000,scrper,0.55078125
58,11,top_3000,scrper,0.8203125
59,12,top_3000,scrper,0.828125
60,13,top_3000,scrper,0.46484375
61,14,top_3000,scrper,0.7578125
62,15,top_3000,scrper,0.671875
63,16,top_3000,scrper,0.68359375
64,17,top_3000,scrper,0.6796875
65,18,top_3000,scrper,0.8046875
66,19,top_3000,scrper,0.65234375
67,20,top_3000,scrper,0.59375
68,21,top_3000,scrper,0.7890625
69,22,top_3000,scrper,0.65234375
70,23,top_3000,scrper,0.890625
71,24,top_3000,scrper,0.91015625
0,1,top_5000,retper,0.82421875
1,2,top_5000,retper,0.77734375
2,3,top_5000,retper,0.88671875
3,4,top_5000,retper,0.76171875
4,5,top_5000,retper,0.8125
5,6,top_5000,retper,0.9296875
6,7,top_5000,retper,0.8125
7,8,top_5000,retper,0.8984375
8,9,top_5000,retper,0.9140625
9,10,top_5000,retper,0.91015625
10,11,top_5000,retper,0.9765625
11,12,top_5000,retper,0.77734375
12,13,top_5000,retper,0.875
13,14,top_5000,retper,0.9375
14,15,top_5000,retper,0.86328125
15,16,top_5000,retper,0.8671875
16,17,top_5000,retper,0.89453125
17,18,top_5000,retper,0.88671875
18,19,top_5000,retper,0.88671875
19,20,top_5000,retper,0.8828125
20,21,top_5000,retper,1.0
21,22,top_5000,retper,0.78125
22,23,top_5000,retper,0.9296875
23,24,top_5000,retper,0.94140625
24,1,top_5000,scrret,0.73828125
25,2,top_5000,scrret,0.671875
26,3,top_5000,scrret,0.91796875
27,4,top_5000,scrret,0.87890625
28,5,top_5000,scrret,0.625
29,6,top_5000,scrret,0.92578125
30,7,top_5000,scrret,0.83984375
31,8,top_5000,scrret,0.84375
32,9,top_5000,scrret,0.90625
33,10,top_5000,scrret,0.77734375
34,11,top_5000,scrret,0.88671875
35,12,top_5000,scrret,0.9453125
36,13,top_5000,scrret,0.859375
37,14,top_5000,scrret,0.875
38,15,top_5000,scrret,0.8203125
39,16,top_5000,scrret,0.76171875
40,17,top_5000,scrret,0.8046875
41,18,top_5000,scrret,0.84375
42,19,top_5000,scrret,0.91015625
43,20,top_5000,scrret,0.91015625
44,21,top_5000,scrret,0.90625
45,22,top_5000,scrret,0.8125
46,23,top_5000,scrret,0.92578125
47,24,top_5000,scrret,0.75390625
48,1,top_5000,scrper,0.57421875
49,2,top_5000,scrper,0.69921875
50,3,top_5000,scrper,0.8984375
51,4,top_5000,scrper,0.74609375
52,5,top_5000,scrper,0.671875
53,6,top_5000,scrper,0.859375
54,7,top_5000,scrper,0.87109375
55,8,top_5000,scrper,0.70703125
56,9,top_5000,scrper,0.8359375
57,10,top_5000,scrper,0.5703125
58,11,top_5000,scrper,0.796875
59,12,top_5000,scrper,0.8203125
60,13,top_5000,scrper,0.46875
61,14,top_5000,scrper,0.765625
62,15,top_5000,scrper,0.68359375
63,16,top_5000,scrper,0.72265625
64,17,top_5000,scrper,0.71875
65,18,top_5000,scrper,0.8359375
66,19,top_5000,scrper,0.65625
67,20,top_5000,scrper,0.59375
68,21,top_5000,scrper,0.8125
69,22,top_5000,scrper,0.6796875
70,23,top_5000,scrper,0.890625
71,24,top_5000,scrper,0.91796875
0,1,top_7000,retper,0.8359375
1,2,top_7000,retper,0.76171875
2,3,top_7000,retper,0.90625
3,4,top_7000,retper,0.7578125
4,5,top_7000,retper,0.83984375
5,6,top_7000,retper,0.9296875
6,7,top_7000,retper,0.828125
7,8,top_7000,retper,0.921875
